obj_led_green#obj_wire;;obj_slime_pad;;obj_led_red#obj_wire;;obj_led_green#obj_wire;;obj_slime_pad;;obj_led_red#obj_wire;;obj_led_green#obj_wire;;obj_slime_pad
obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;
;;;obj_wire;;obj_slime_pad;;;;obj_wire;;obj_slime_pad;;;
obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;
obj_wire;;obj_slime_pad;;obj_wire;;obj_wire;;obj_slime_pad;;obj_wire;;obj_wire;;obj_slime_pad
obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;
;obj_wire;;obj_wire;;obj_slime_pad;;obj_wire;;obj_wire;;obj_slime_pad;;obj_wire;
obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;
obj_wire;;obj_slime_pad;;obj_wire;;obj_wire;;obj_slime_pad;;obj_wire;;obj_wire;;obj_slime_pad
obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;
;obj_wire;;obj_wire;;obj_slime_pad;;obj_wire;;obj_wire;;obj_slime_pad;;obj_wire;
obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;
obj_wire;;obj_slime_pad;;obj_wire;;obj_wire;;obj_slime_pad;;obj_wire;;obj_wire;;obj_slime_pad
obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;;obj_wire;obj_wire;
;obj_wire;;obj_wire;;;;obj_wire;;obj_wire;;;;obj_wire;
obj_battery_1V#obj_wire;obj_wire;;obj_wire;obj_battery_1V#obj_wire;;obj_battery_1V#obj_wire;obj_wire;;obj_wire;obj_battery_1V#obj_wire;;obj_battery_1V#obj_wire;obj_wire;
